Transaction ID,Location,Account Type,Amount,Transaction Status,Denied Message,Transaction Type,Date,Time
1,Follett TIA,Bulldog Bucks,8.67,Successful,,Sale,9/1/2020,12:05
2,UD Marketplace HC,Bulldog Bucks,2.88,Successful,,Sale,9/1/2020,12:12
3,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/1/2020,17:21
4,UD Duff's Bistro,Bulldog Bucks,9.79,Successful,,Sale,9/1/2020,17:21
5,BbOne Blaze Pizza,Bulldog Bucks,14.1,Successful,,Sale,9/2/2020,18:36
6,BbOne Caruso's,Bulldog Bucks,16.7,Successful,,Sale,9/3/2020,19:45
8,BbOne McDonald's,Bulldog Bucks,13.47,Successful,,Sale,9/4/2020,19:22
9,BbOne Domino's,Bulldog Bucks,8.7,Successful,,Sale,9/5/2020,18:04
10,BbOne URM Cash & Carry,Bulldog Bucks,14.2,Successful,,Sale,9/6/2020,16:04
11,BbOne Qdoba Mexican Eats,Bulldog Bucks,9.75,Successful,,Sale,9/6/2020,17:31
12,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/9/2020,11:59
13,UD Bulldog,Bulldog Bucks,14.95,Successful,,Sale,9/9/2020,12:00
14,BbOne URM Cash & Carry,Bulldog Bucks,78.77,Successful,,Sale,9/13/2020,13:39
15,UD Duff's Bistro,Bulldog Bucks,7.0,Successful,,Sale,9/13/2020,14:12
16,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/14/2020,14:05
17,UD Duff's Bistro,Bulldog Bucks,7.5,Successful,,Sale,9/14/2020,14:05
18,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/14/2020,18:38
19,UD Duff's Bistro,Bulldog Bucks,7.5,Successful,,Sale,9/14/2020,18:38
20,UD Duff's Bistro,Bulldog Bucks,2.99,Successful,,Sale,9/14/2020,18:50
21,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/15/2020,11:55
22,UD Duff's Bistro,Bulldog Bucks,7.5,Successful,,Sale,9/15/2020,11:55
23,UD Duff's Bistro,Bulldog Bucks,2.99,Successful,,Sale,9/15/2020,12:03
24,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/15/2020,17:58
25,UD Duff's Bistro,Bulldog Bucks,7.5,Successful,,Sale,9/15/2020,17:58
26,UD Duff's Bistro,Bulldog Bucks,2.99,Successful,,Sale,9/15/2020,18:10
27,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/16/2020,12:03
28,UD Duff's Bistro,Bulldog Bucks,7.5,Successful,,Sale,9/16/2020,12:03
29,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/17/2020,13:45
30,UD Duff's Bistro,Bulldog Bucks,7.5,Successful,,Sale,9/17/2020,13:45
31,BbOne Domino's,Bulldog Bucks,8.7,Successful,,Sale,9/17/2020,18:15
32,BbOne Sonic,Bulldog Bucks,13.37,Successful,,Sale,9/18/2020,18:57
33,UD Duff's Bistro,Bulldog Bucks,6.09,Successful,,Sale,9/20/2020,13:11
34,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/20/2020,17:11
35,UD Duff's Bistro,Bulldog Bucks,11.99,Successful,,Sale,9/20/2020,17:11
36,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/21/2020,11:47
37,UD Duff's Bistro,Bulldog Bucks,4.49,Successful,,Sale,9/21/2020,11:47
38,UD Fuel Cell - Martin Centre,Bulldog Bucks,3.5,Successful,,Sale,9/21/2020,15:43
39,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/21/2020,19:02
40,UD Duff's Bistro,Bulldog Bucks,7.5,Successful,,Sale,9/21/2020,19:02
41,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/22/2020,10:41
42,UD Duff's Bistro,Bulldog Bucks,4.49,Successful,,Sale,9/22/2020,10:41
43,UD Duff's Bistro,Bulldog Bucks,9.07,Successful,,Sale,9/23/2020,15:41
44,UD Sodexo Vending API,Bulldog Bucks,2.75,Successful,,Sale,9/23/2020,22:03
45,UD Duff's Bistro,Bulldog Bucks,1.39,Successful,,Sale,9/24/2020,12:09
46,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/24/2020,17:07
47,UD Duff's Bistro,Bulldog Bucks,8.99,Successful,,Sale,9/24/2020,17:07
48,UD Duff's Bistro,Bulldog Bucks,3.68,Successful,,Sale,9/25/2020,16:12
49,BbOne Sonic,Bulldog Bucks,15.31,Successful,,Sale,9/25/2020,18:30
50,BbOne Domino's,Bulldog Bucks,8.7,Successful,,Sale,9/26/2020,19:41
51,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/27/2020,10:53
52,UD Duff's Bistro,Bulldog Bucks,4.49,Successful,,Sale,9/27/2020,10:53
53,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/27/2020,17:42
54,UD Duff's Bistro,Bulldog Bucks,4.5,Successful,,Sale,9/27/2020,17:42
55,BbOne URM Cash & Carry,Bulldog Bucks,55.56,Successful,,Sale,9/28/2020,11:21
56,UD Tapingo,Bulldog Bucks,0.29,Successful,,Sale,9/28/2020,19:25
57,UD Duff's Bistro,Bulldog Bucks,5.49,Successful,,Sale,9/28/2020,19:25
